,Age at BMT,Age at S1K,Days postBMT,Lamis ID,Cell Counts,FSC-A+ | Count,Lymphocytes/Single Cells/live/total B-cells/B220+/CD21hiCD24hi/T2-MZP | Count,Lymphocytes/Single Cells/live/total B-cells/B220+/CD21hiCD24hi/T2-MZP/CD45.1+ | Count,Lymphocytes/Single Cells/live/total B-cells/B220+/CD21hiCD24hi/T2-MZP/CD45.1+/Ki67+ | Count,Lymphocytes/Single Cells/live/total B-cells/B220+/CD21hiCD24hi/T2-MZP/CD45.2+ | Count,Lymphocytes/Single Cells/live/total B-cells/B220+/CD21hiCD24hi/T2-MZP/CD45.2+/Ki67+ | Count,Lymphocytes/Single Cells/live/total B-cells/B220+/CD21hiCD24hi/T2-MZP/CD45.1+/Ki67+ | Freq. of Parent (%),Lymphocytes/Single Cells/live/total B-cells/B220+/CD21hiCD24hi/T2-MZP/CD45.2+/Ki67+ | Freq. of Parent (%),
20181129_Bcells_SPLEEN_14d_001_019.fcs,74,88,14,832634,62280000,6.04E5,22451,22347,1845,96.0,38.0,8.26,39.6,
20181129_Bcells_SPLEEN_14d_002_020.fcs,41,88,14,848687,70470000,6.00E5,15086,15011,1448,69.0,15.0,9.65,21.7,
20181204_2-5wks_SPLEEN_001_018.fcs,74,92,18,832635,78090000,5.50E5,17706,17689,1784,11.0,2.00,10.1,18.2,
20181204_2-5wks_SPLEEN_002_019.fcs,41,59,18,848686,76560000,5.67E5,17744,16443,1115,1270,416,6.78,32.8,
20181207_3wks_SPLEEN_001_048.fcs,74,95,21,832636,84270000,6.19E5,15630,13270,1180,2330,643,8.89,27.6,
20181207_3wks_SPLEEN_002_049.fcs,41,62,21,848689,61770000,5.99E5,10873,10857,930,12.0,2.00,8.57,16.7,
20181213_4wks_SPLEEN_001_024.fcs,74,102,28,832637,75210000,5.87E5,11291,9375,635,1887,491,6.77,26.0,
20181213_4wks_SPLEEN_002_025.fcs,41,69,28,848688,82380000,5.87E5,10543,9730,848,791,139,8.72,17.6,
20181220_5wks_SPLEEN_CD1d_001_065.fcs,74,109,35,832653,94080000,6.17E5,13752,11038,387,2684,338,3.51,12.6,
20181220_5wks_SPLEEN_CD1d_002_066.fcs,41,76,35,848701,66000000,5.74E5,9718,8698,655,1011,152,7.53,15.0,
20190312_SPLEEN_54d_004_020.fcs,41,119,54,882098,82260000,5.60E5,13673,10681,1003,2929,470,9.39,16.0,
20190205_MV61_BuChi_12w_Spleen_001_028.fcs,41,123,82,848700,1089000000,6.21E5,9383,5070,408,4252,533,8.05,12.5,
20190205_MV61_BuChi_12w_Spleen_002_029.fcs,42,124,82,848702,92700000,6.52E5,9970,9335,1227,620,,13.1,,
20190312_SPLEEN_90d_002_019.fcs,51,141,90,860235,97710000,5.55E5,10479,2821,142,7616,737,5.03,9.68,
20190312_SPLEEN_117d_001_018.fcs,65,158,117,848702,109680000,6.14E5,14672,11044,878,3559,327,7.95,9.19,
20190620_SPLEEN_22wks_004_020.fcs,65,219,154,882101,86220000,6.40E5,15154,2716,141,12364,1112,5.19,8.99,
20190620_SPLEEN_22wks_005_021.fcs,58,212,154,882113,87300000,6.71E5,9340,863,40.0,8430,739,4.63,8.77,
20190620_SPLEEN_27wks_003_019.fcs,101,291,190,860234,110400000,6.73E5,10792,1080,71.0,9649,1122,6.57,11.6,
20190620_SPLEEN_31wks_001_017.fcs,89,306,217,832605,100800000,5.72E5,11552,2829,237,8664,819,8.38,9.45,
20190620_SPLEEN_31wks_002_018.fcs,89,306,217,832608,99300000,6.37E5,8482,2868,220,5539,518,7.67,9.35,
20181129_Bcells_SPLEEN_90wks_003_021.fcs,87,731,644,408781,97710000,4.89E5,7497,1226,95.0,6156,562,7.75,9.13,
20181129_Bcells_SPLEEN_90wks_004_022.fcs,87,731,644,408783,52920000,6.19E5,23280,2525,139,20492,1620,5.50,7.91,
20181129_Bcells_SPLEEN_90wks_005_023.fcs,87,731,644,408785,25170000,4.43E5,11376,11374,372,1.00,0,3.27,0,
Mean,-,-,-,-,-,5.93E5,13063,8647,687,4367,,7.45,,
SD,-,-,-,-,-,53390,4188,5961,556,5042,,2.26,,
