Lamis.ID,days.post.bmt,age.at.S1K,age.at.bmt,total_counts
591830,12,72,60,125321.425297592
386203,21,91,70,53387.0774906489
397523,21,75,54,95852.5768466126
559343,28,79,51,63944.3624419888
559345,28,79,51,108199.903045261
386217,33,103,70,75530.6370421802
397522,33,87,54,116267.837541163
401432,33,78,45,76813.0817371679
488413,68,140,72,60133.1934339799
559344,68,119,51,52027.0657124268
559409,68,119,51,146763.225278267
320998,110,294,184,172943.827972367
358352,110,231,121,117570.055764038
405144,110,150,40,173773.486731803
358353,152,273,121,72186.9551919254
405142,152,192,40,39216.0323569973
405143,152,273,121,41679.9890375919
203491,264,442,178,1861094.58837958
233207,264,382,118,1999133.93020282
256767,264,330,66,1507208.78274268
358351,334,455,121,83574.6901500326
405145,334,374,40,203677.504054368
378547,403,456,53,102398.963438225
