Lamis.ID,days.post.bmt,age.at.S1K,age.at.bmt,host_ki67_FM,donor_ki67_FM
591830,12,72,60,0.239800115163048,0.885161354343496
591831,12,72,60,0.251128839389318,0.916284292413677
591927,12,77,65,0.189036145556249,0.813904973085075
682687,12,113,99,0.121995402696277,0.701586558809937
682688,12,113,99,0.100991288053086,0.712150371415828
386203,21,91,70,0.088115772162588,0.403893532147066
397523,21,75,54,0.120823415489405,0.580579770393157
559343,28,79,51,0.164264487257037,0.568202444896544
559345,28,79,51,0.168885664178652,0.544277700790065
682691,28,108,80,0.050757387685803,0.163417326403343
682692,28,108,80,0.076964193973668,0.317420605318355
386217,33,103,70,0.053909435359721,0.275805906989106
397522,33,87,54,0.046185610666248,0.196871643914364
401432,33,78,45,0.039783439858589,0.143211469338116
682625,42,122,80,0.111199216725055,0.261429694690565
488413,68,140,72,0.068399170622483,0.17185766718427
559344,68,119,51,0.156004024607579,0.265806213191751
559409,68,119,51,0.123366506679806,0.245880032198683
320998,110,294,184,0.160512774973611,0.202636340602304
358352,110,231,121,0.110603910481629,0.165542523282104
405144,110,150,40,0.144596501109651,0.186592246975626
591924,147,217,70,0.138542000680025,0.162307991810072
591925,147,217,70,0.177825568089966,0.201496903432132
591926,147,217,70,0.198001754933549,0.217807333910796
358353,152,273,121,0.070650704895589,0.104387832337871
405142,152,192,40,0.151498564532653,0.177819499251164
405143,152,273,121,0.184045024297985,0.21495215288398
599410,210,261,51,0.208570935972606,0.187924321701153
599411,210,261,51,0.169200184412284,0.161441459804846
559411,238,289,51,0.084852288190627,0.081498070913254
203491,264,442,178,0.102966956929934,0.111487398205434
233207,264,382,118,0.12971277021584,0.140783089083233
256767,264,330,66,0.114809139682432,0.115200484521461
358351,334,455,121,0.279244286952197,0.28021087692916
405145,334,374,40,0.197251117865576,0.172013021206773
405146,334,374,40,0.178226049396277,0.179753264030565
486691,378,442,64,0.038821185961342,0.036803193017234
378547,403,456,53,0.100527075622351,0.09883600237565
408561,434,524,90,0.098109733595959,0.104211177885773
408562,434,524,90,0.272969143632478,0.234786242875878
408560,476,566,90,0.061226098991649,0.048269861908208
