"Lamis.ID","days.post.bmt","age.at.S1K","age.at.bmt","host_ki67_MZ","donor_ki67_MZ"
682687,12,113,99,0.15203426124197,0.799999999999999
682688,12,113,99,0.120101733232856,0.739130434782608
832634,14,88,74,0.0993856954804741,0.555555555555556
848687,14,88,41,0.115257625783782,0.4
848686,18,59,41,0.0877141314484856,0.616580310880832
832636,21,95,74,0.070892838795849,0.377215189873418
682691,28,108,80,0.0990415335463259,0.329984544049459
682692,28,108,80,0.0927032216769789,0.334319526627218
832637,28,102,74,0.0723127380448581,0.374538745387454
848688,28,69,41,0.10440218806981,0.383078730904817
832653,35,109,74,0.0416396872042635,0.205115089514067
848701,35,76,41,0.0804505724486026,0.235064935064935
682625,42,122,80,0.157174599462051,0.327033218785796
882098,54,119,41,0.131967562953478,0.220426632191338
848702,82,124,42,0.136393329895135,0.23404255319149
860235,90,141,51,0.0881617340558567,0.134920634920635
882114,98,156,58,0.0901284233328174,0.123025210084034
882115,98,156,58,0.064943896633798,0.0953671441476318
848702,117,158,65,0.126403760773048,0.153326122228231
882099,118,183,65,0.0590971272229826,0.0963843185049768
882100,118,183,65,0.0574725274725275,0.10278917145201
860237,134,156,51,0.0650614754098362,0.0877969136777795
591924,147,217,70,0.135354539430086,0.183295146844407
591925,147,217,70,0.129395604395604,0.161627267729522
591926,147,217,70,0.127433227704844,0.152257077276205
882101,154,219,65,0.105470597509065,0.174076057846813
882113,154,212,58,0.104219948849105,0.16444020356234
832655,161,235,74,0.0857787810383749,0.123833688001309
832656,161,235,72,0.074525049512213,0.0922359809783889
832607,181,270,89,0.0602068456045307,0.0794494205758817
860234,190,291,101,0.107522311942201,0.149041513266472
599411,210,261,51,0.131130434782609,0.153442079071053
832605,217,306,89,0.108615156751419,0.147778124674784
832608,217,306,89,0.129541108986616,0.14379886555266
559411,238,289,51,0.111907198908222,0.133016627078385
486691,378,442,64,0.0811727163940965,0.0954686136020951
408561,434,524,90,0.137071651090343,0.124960998439938
408562,434,524,90,0.156844968268359,0.17527211833659
408560,476,566,90,0.145328719723184,0.117446081571642
408782,476,563,87,0.138888888888889,0.139994584348768
408781,644,731,87,0.0800788954635108,0.0944708897839618
408783,644,731,87,0.0817510548523205,0.0879300928454394
