"Lamis.ID","days.post.bmt","age.at.S1K","age.at.bmt","total_counts","fd","host_ki67_Tra","donor_ki67_Tra"
682687,12,113,99,1255731.27182828,0.273067331670823,0.995197255574615,1
682688,12,113,99,3985367.19539858,0.425715829281469,0.994731890874884,0.998477157360409
832634,14,88,74,1250755.62913907,0.259356966199506,0.986308993766697,0.995867768595041
848687,14,88,41,1069147.35,0.262770515214764,0.977201609298167,0.99623745819398
848686,18,59,41,3028238.30687831,0.800017835644536,0.981047937569676,0.995485453126739
832636,21,95,74,1946514.47495961,0.840886837319905,0.952527472527471,0.987773434251024
682691,28,108,80,1589952.42950108,0.807452144538847,0.979797979797981,0.992900608519271
682692,28,108,80,1294146.49681529,0.838167938931298,0.989779874213835,0.995901639344257
832637,28,102,74,1277544.99148212,0.861097181827299,0.927075812274366,0.991730724435129
848688,28,69,41,1507820.64735946,0.567479523454951,0.969227458575424,0.992291290798754
832653,35,109,74,1695727.19611021,0.934628180918982,0.927097661623116,0.985857225322304
848701,35,76,41,1021160.27874564,0.542956874225875,0.987681694998767,0.996889257569474
682625,42,122,80,681978.652482269,0.7197613036493,0.990171990171992,0.995216836734695
882098,54,119,41,735345.642857143,0.608270075908909,0.98725140234574,0.994745484400656
848700,82,123,41,18262231.884058,0.72354522757826,0.96040291767975,0.989515593895153
848702,82,124,42,888469.785276074,0.19523123699792,0.936170212765957,0.978688524590165
860235,90,141,51,1416883.02702703,0.968563618290258,0.956521739130435,0.989223861449647
882114,98,156,58,415015.366242039,0.675243664717349,0.972388955582229,0.997690531177827
882115,98,156,58,1168681.11111111,0.947637468914065,0.981530343007916,0.99241871993002
848702,117,158,65,925491.986970684,0.286624203821656,0.975108225108226,0.986531986531987
882099,118,183,65,1493934.17266187,0.791337668369717,0.973845297718421,0.994277329420389
882100,118,183,65,882051.092307692,0.847919903331607,0.909194097616345,0.983306188925082
860237,134,156,51,437939.075500771,0.916400765794512,0.950381679389311,0.993036211699163
591924,147,217,70,1633567.86429454,0.680555555555556,0.990083905415713,0.993913354815612
591925,147,217,70,1118208.70994248,0.686752326096589,0.96888260254597,0.986451612903225
591926,147,217,70,2027186.54100515,0.573422330097088,0.980559506875296,0.995061728395056
882101,154,219,65,1206541.125,0.910674408217954,0.975,0.99435998038254
882113,154,212,58,573369.746646796,0.978443385523031,0.747368421052629,0.972866419294991
832655,161,235,74,843793.229508197,0.853673595389998,0.984528832630099,0.996383799421408
832656,161,235,72,1107515.48599671,0.840005658508983,0.975243147656941,0.996126641966992
832607,181,270,89,1559743.22368421,0.778030518434272,0.97011101622545,0.991960043854303
860234,190,291,101,917484.695393759,0.934024673699267,0.940379403794039,0.984111791730476
599411,210,261,51,696953.665522179,0.633844631370609,0.970270270270272,0.98360655737705
832605,217,306,89,978394.405594406,0.786383285302593,0.930860033726811,0.985341273476866
832608,217,306,89,884035.007849293,0.675013225180744,0.954422137818775,0.984326018808777
559411,238,289,51,620215.173618825,0.716757741347905,0.967845659163991,0.98030495552732
486691,378,442,64,589855.546875,0.519631031220435,0.960610536681438,0.980427856167501
408561,434,524,90,1442376.61074142,0.904560260586319,0.812286689419794,0.947785379906378
408562,434,524,90,2163344.77153693,0.796225790432048,0.974004874086109,0.992931392931392
408560,476,566,90,829046.368715084,0.983563601715102,0.797101449275359,0.963187212400097
408782,476,563,87,182073.383458646,0.77027027027027,0.797794117647059,0.923245614035091
408781,644,731,87,1352554.17177914,0.871620623430345,0.864211737629459,0.969661016949148
408783,644,731,87,111568.012924071,0.777011494252874,0.439862542955328,0.88560157790927
