Lamis.ID,days.post.bmt,age.at.S1K,age.at.bmt,total_counts,fd,host_ki67_Tra,donor_ki67_Tra
591830,12,72,60,1178453.02219275,0.053882619678293,0.941457393704362,1
591831,12,72,60,662470.543072063,0.057607075114727,0.935775997113867,1
591927,12,77,65,900328.136451358,0.04807691624487,0.828751493987866,0.980624135241855
682687,12,113,99,1547406.88277838,0.126362547088651,0.660629870687471,0.937429941510168
682688,12,113,99,3382917.01504946,0.347773243842319,0.791990389727384,0.947792928374683
386203,21,91,70,3828927.9899671,0.643045989934256,0.56190927540149,0.764941929095374
397523,21,75,54,4359347.2259152,0.719158370245909,0.713431393352363,0.865412296872431
559343,28,79,51,930902.628529714,0.628331726466513,0.865932453105672,0.972857020663798
559345,28,79,51,820335.378341244,0.451872203282796,0.845944509382053,0.951635008428171
682691,28,108,80,2049455.89619093,0.759309275320963,0.473817528065049,0.588114106315367
682692,28,108,80,2186703.66472011,0.790682887077076,0.718226544372166,0.852568266459833
386217,33,103,70,2374068.0243637,0.913882410995318,0.560489446280761,0.778644480916954
397522,33,87,54,1096894.79662258,0.827513618436868,0.516534593620981,0.69758447889961
401432,33,78,45,1407799.31216086,0.907264011868405,0.462887639080571,0.671888685616911
682625,42,122,80,902109.215879584,0.580027189911236,0.81087564995125,0.900254351537138
488413,68,140,72,449132.193413554,0.959914402407385,0.577293477279099,0.904645840517582
559344,68,119,51,440834.324637427,0.531401593941436,0.875226275378222,0.926475794001716
559409,68,119,51,431615.019252175,0.737678051041638,0.834094566572543,0.950399104676869
320998,110,294,184,542485.684137126,0.739307040082568,0.836212375381126,0.886994169589678
358352,110,231,121,447549.592976837,0.851130492160279,0.813780159173585,0.839872398126713
405144,110,150,40,398625.99287889,0.689877621038087,0.8046739225597,0.895908154908349
591924,147,217,70,1090711.622068,0.675025563651027,0.917079056939899,0.944763290256962
591925,147,217,70,1569107.79507381,0.650951231599003,0.865166037657355,0.899764682317343
591926,147,217,70,2635275.49717349,0.559869548725032,0.934359584093709,0.936619088589646
358353,152,273,121,3226855.1235902,0.910435346166615,0.615316689499366,0.730384553684783
405142,152,192,40,6345067.33151656,0.941795659610145,0.898390589251133,0.923499148265991
405143,152,273,121,5459036.18763728,0.669934961632843,0.909269759842616,0.937582820893881
599410,210,261,51,1922788.77175365,0.800026600411388,0.840247702390152,0.932789371494652
599411,210,261,51,1128733.68384173,0.571792689101505,0.868519620210433,0.889613694582263
559411,238,289,51,719168.184304479,0.691501578121233,0.559759750813111,0.565785175589912
203491,264,442,178,824847.861863052,0.741823104649231,0.608838621307734,0.639589216840978
233207,264,382,118,1625224.06448503,0.704379531750817,0.610968248562421,0.706665388281287
256767,264,330,66,2093556.47549776,0.534459667534242,0.603545704597582,0.646903477916869
358351,334,455,121,1539223.79229416,0.873547444081397,0.980529548056493,0.980270540531258
405145,334,374,40,778867.002406396,0.46291210770131,0.865628933290348,0.891771673873298
405146,334,374,40,1028253.92561563,0.557072110312622,0.883982705663707,0.914191166920578
486691,378,442,64,1078106.00410873,0.489763816205524,0.352316331729825,0.42531702346487
378547,403,456,53,472352.636116186,0.666457779931766,0.730500561564332,0.818685975930481
408561,434,524,90,1573819.89768519,0.920316273506501,0.383038440929467,0.487729622102155
408562,434,524,90,2192655.97384669,0.767329944319875,0.900194991607532,0.91731066597241
408560,476,566,90,1281830.3575221,0.987774814986542,0.350487261935734,0.320640861042694
