"Lamis.ID","days.post.bmt","age.at.S1K","age.at.bmt","total_counts"
682687,12,113,99,4245686.9285406
682688,12,113,99,4581342.149308
832634,14,88,74,2823634.96688741
848687,14,88,41,3881487.6
848686,18,59,41,2776954.07407408
832636,21,95,74,2757630.24232634
682691,28,108,80,3369026.03036876
682692,28,108,80,3309458.59872611
832637,28,102,74,2560983.78194207
848688,28,69,41,2813269.98296422
832653,35,109,74,3359433.64667747
848701,35,76,41,1956543.55400697
682625,42,122,80,2950179.85815603
882098,54,119,41,1948093.07142857
848702,82,124,42,4255527.14723926
860235,90,141,51,2175676
882114,98,156,58,3054124.77707006
882115,98,156,58,2200924.5959596
848702,117,158,65,3396507.36156352
882099,118,183,65,3610109.62230215
882100,118,183,65,3241648.15384615
860237,134,156,51,3744281.2788906
591924,147,217,70,4313590.38629627
591925,147,217,70,3605814.35133424
591926,147,217,70,2883328.42968208
882101,154,219,65,3118200.1875
882113,154,212,58,1430627.12369598
832655,161,235,74,3198738.68852459
832656,161,235,72,5463471.49917628
832607,181,270,89,4121914.53947369
860234,190,291,101,2970301.33729569
599411,210,261,51,2238804.15466105
832605,217,306,89,2407216.78321679
832608,217,306,89,1669081.78963893
559411,238,289,51,2492440.30381882
486691,378,442,64,3856522.44140625
408561,434,524,90,3313237.73907118
408562,434,524,90,1678105.21427281
408560,476,566,90,1906727.65363128
408782,476,563,87,722911.296992482
408781,644,731,87,2689322.88343558
408783,644,731,87,1257854.53957997
